ID_Line,Name_Line,ShortName_Line,TransportMode,OperatorRef,OperatorName,NetworkName,ColourWeb_hexa,TextColourWeb_hexa,TextColourPrint_hexa,ID_GroupOfLines,ShortName_GroupOfLines,Picto
C00941,56,56,bus,1020,Transdev Brie et 2 Morin,Brie et 2 Morin,ceacd2,0,0,A00805,MEAUX (Gare SNCF)  - FERICY (Gare SNCF),
C02469,T13,T13,bus,800,SNCF,Transilien,8d653d,0,0,A02373,T13,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/07d202b2a699910502ae61197977502d
C01342,TRANSPORT URBAIN BONDYNOIS,TUB,bus,100,RATP,,8e6538,ffffff,ffffff,A01217,546 (TUB),
C01439,G,G,bus,1027,Francilité Pays de Montereau,Pays de Montereau,951b81,ffffff,ffffff,A01293,LA GRANDE-PAROISSE (GARE SNCF)  - MONTEREAU-FAUT-YONNE (GARE SNCF),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C02427,22 (Future 442),22,bus,1032,Transdev Côteaux de la Marne,Marne et Seine,ff82b4,ffffff,ffffff,A00466,SUCY-EN-BRIE (R.E.R.)  - NOISEAU (POSTE),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00912,L,L,bus,1019,Transdev Marne-et-Ourcq,Meaux et Ourcq,b1d0b7,0,0,A00780,TRILBARDOU (PLACE DES TILLEULS)  - ESBLY (GARE SNCF),
C02039,M20S,M20S,bus,1033,Transdev Cœur Essonne,Cœur d’Essonne,82c8e6,0,0,A00586,EGLY (Gare RER)  - LA NORVILLE (Collège Camus),
C01673,M21S,M21S,bus,1033,Transdev Cœur Essonne,Cœur d’Essonne,d2d200,0,0,A00587,MORSANG-SUR-ORGE (LIBERATION)  - SAVIGNY-SUR-ORGE,
C00387,312,312,bus,1038,TISSE,Evry Centre Essonne,ffed00,0,0,A00347,CORBEIL-ESSONNES (gare SNCF) - SAINTRY-SUR-SEINE,
C02429,81 (Future 447),81,bus,1032,Transdev Côteaux de la Marne,Marne et Seine,93c47d,ffffff,ffffff,A00078,St Maur des Fossés (La Varenne RER) - Ormesson sur Marne (Pince Vent),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C02646,Bus soirée Trappes,Soir,bus,1023,Francilité Saint-Quentin-en-Yvelines,Saint-Quentin-en-Yvelines,aaaaaa,0,0,A02695,Bus soirée Trappes,
C01568,91-07,91-07,bus,1018,Francilité Ouest Essonne,Essonne Sud Ouest,5291ce,ffffff,ffffff,A01414,ETAMPES (RER)  - LA FORET-LE-ROI - LES GRANGES-LE-ROI - DOURDAN (RER),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00106,21,21,bus,1010,Keolis Seine et Oise Est,Poissy - Les Mureaux,e0b03b,0,0,A00098,Les Mureaux (Gare) - Cergy (Gare de Cergy-le-Haut),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C02573,Bus de Substitution du métro 3B,BUSM03B,bus,100,RATP,,6ec4e8,0,0,A01549,3 Bis,
C00903,6,6,bus,1002,Transdev Marne-la-Vallée,Marne-la-Vallée,71cc98,0,0,A00772,COUPVRAY - ESBLY - CHESSY,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C02057,6,6,bus,1018,Francilité Ouest Essonne,Essonne Sud Ouest,ceadd2,0,0,A02277,ETAMPES (HOPITAL) - ST-MARTIN-D'ETAMPES (HOPITAL),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C01501,3251,3251,bus,1030,Francilité Grand Provinois,Provinois - Brie et Seine,006fb6,ffffff,ffffff,A01342,PROVINS (GARE ROUTIERE)  - ESTERNAY (PLACE DE L'EGLISE),
C00605,G,G,bus,1039,Keolis Nord Val d’Oise,Haut Val d'Oise,f28e42,0,0,A00512,BEAUMONT-SUR-OISE (DUQUESNEL)  - NOINTEL (GARE SNCF),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00157,R5,R5,bus,1021,Transdev Boucle des Lys,Saint Germain Boucles de Seine,fecf00,0,0,A00144,ST-GERMAIN-EN-LAYE (GARE RER)  - FOURQUEUX (CLOS BADERE),
C00516,3930C,3930C,bus,1037,Transdev Sud Yvelines,Centre et Sud Yvelines,c26e56,ffffff,ffffff,A00440,LIMOURS (Lycée Jules VERNES)  - LIMOURS (Desserte du lycée Jules Verne),
