codeunique,nom_long,id_ref_ZdC,nom_ZdC,id_ref_ZdA,nom_ZdA,idrefliga,idrefligc,res_com,mode_,train,rer,metro,tramway,val,tertrain,terrer,termetro,tertram,terval,exploitant,idf,principal,x,y
176,Vigneux-sur-Seine,63071,Vigneux-sur-Seine,45735,Vigneux-sur-Seine,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,656871.3835,6845491.2649
181,Gif-sur-Yvette,62890,Gif-sur-Yvette,47888,Gif-sur-Yvette,A01857,C01743, B,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,636455.3479,6844575.3205
187,Lardy,59761,Lardy,43149,Lardy,A01840,C01727, C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,644965.5009,6824722.0741
348,La Varenne-Chennevières,72998,La Varenne - Chennevières,43146,La Varenne - Chennevières,A01856,C01742, A,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,664256.3287,6855143.6718
352,Pont de Rungis,69677,Pont de Rungis Aéroport d'Orly,47907,Pont de Rungis Aéroport d'Orly,A01840,C01727, C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,653907.804,6849986.9379
355,Val de Fontenay,71718,Val de Fontenay,47900,Val de Fontenay,A01856 / A01843,C01742 / C01729, A /  E,RER,0,1,0,0,0,0,0,0,0,0,RATP/SNCF,1,1,662514.7373,6861711.704
365,Le Raincy - Villemomble - Montfermeil,73297,Le Raincy - Villemomble - Montfermeil,47901,Le Raincy - Villemomble - Montfermeil,A01843,C01729, E,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,664300.8931,6865538.1823
373,Maisons-Alfort-Alfortville,73625,Maisons-Alfort - Alfortville,43154,Maisons-Alfort - Alfortville,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,657875.1827,6855927.6603
401,La Courneuve - Aubervilliers,72598,La Courneuve - Aubervilliers,43140,La Courneuve - Aubervilliers,A01857,C01743, B,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,655036.0117,6869549.1207
408,Parc des Expositions,73568,Parc des Expositions,47878,Parc des Expositions,A01857,C01743, B,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,664446.919,6874940.6594
419,Les Yvris-Noisy-le-Grand,73096,Les Yvris Noisy-le-Grand,58288,Les Yvris Noisy-le-Grand,A01843,C01729, E,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,669151.4423,6858203.1512
456,Orry-la-Ville-Coye-la-Forêt,411422,Orry-la-Ville - Coye,411421,Orry-la-Ville - Coye,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,0,1,662795.0403,6893286.6213
257,Goussainville,66535,Goussainville,47876,Goussainville,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,660663.7874,6880496.5329
261,Sarcelles-Saint-Brice,66079,Sarcelles - Saint-Brice,43190,Sarcelles - Saint-Brice,A01849,C01737, H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,653802.459,6877527.3006
262,Écouen-Ézanville,66533,Écouen - Ézanville,43073,Écouen - Ézanville,A01849,C01737, H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,653354.0639,6880555.8842
276,Chaponval,67016,Chaponval,47591,Chaponval,A01849,C01737, H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,637281.4518,6885836.2334
282,Us,67131,Us,47922,Us,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,624818.8706,6889359.3826
283,Santeuil-le-Perchay,67196,Santeuil - Le Perchay,47949,Santeuil - Le Perchay,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,623305.7395,6892026.8129
289,Bellevue,69528,Bellevue,43088,Bellevue,A01847,C01736, N,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,643448.1913,6857929.425
292,Robinson,427230,Robinson,43186,Robinson,A01857,C01743, B,RER,0,1,0,0,0,0,1,0,0,0,RATP,1,1,647199.3342,6853589.6746
296,Luxembourg,71161,Luxembourg,43833,Luxembourg,A01857,C01743, B,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,651546.1125,6860801.2806
307,Gentilly,70543,Gentilly,45877,Gentilly,A01857,C01743, B,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,651600.8805,6857442.2264
310,Bagneux,70210,Bagneux,44493,Bagneux,A01857,C01743, B,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,650207.6268,6855019.5845
319,Meudon-Val-Fleury,70412,Meudon Val Fleury,43163,Meudon Val Fleury,A01840,C01727, C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,644249.1142,6856647.9
497,Marchezais - Broué,411496,Marchezais - Broué,411495,Marchezais - Broué,A01847,C01736, N,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,0,0,590761.7489,6853056.1086
500,Montargis,411483,Montargis,411482,Montargis,A01845,C01731, R,TRAIN,1,0,0,0,0,1,0,0,0,0,SNCF,0,0,680849.8026,6767388.4005
80,Saint-Quentin-en-Yvelines,63812,Saint-Quentin en Yvelines - Montigny-le-Bretonneux,461504,Saint-Quentin en Yvelines - Montigny-le-Bretonneux,A01847 / A01855 / A01840,C01736 / C01741 / C01727, N /  U /  C,TRAIN / RER,1,1,0,0,0,0,1,0,0,0,SNCF,1,1,629808.9429,6854569.3772
139,Maisons-Laffitte,65048,Maisons-Laffitte,473109,Maisons-Laffitte,A02176 / A01856,C01740 / C01742, L /  A,TRAIN / RER,1,1,0,0,0,0,0,0,0,0,SNCF,1,0,637374.9956,6872065.3017
409,Terminal 3 - Roissypole,73596,Aéroport CDG 1 (Terminal 3),462398,Aéroport CDG 1 (Terminal 3) - RER,A01857 / A01516,C01743 / C00563, B / CDGVAL,RER / VAL,0,1,0,0,1,0,0,0,0,0,SNCF,1,0,667900.8037,6878960.9005
